S.no.,Year,State,TFR,Pop,PR,Birth,BR
191,2035,gujarat,1.75,79641231,0.033543203,4871250,-0.004992558
192,2035,haryana,1.84,36292844,0.052521897,2374355,0.014359268
193,2035,himachal pradesh,1.73,8485490,0.02747714,464120,-0.010223649
195,2035,jammu & kashmir,1.56,15617975,0.028409765,877871,-0.096197505
196,2035,jharkhand,1.92,44413259,0.037084421,3262089,-0.03450335
197,2035,karnataka,1.73,74517477,0.022769853,4287367,-0.003383895
198,2035,kerala,1.69,37261264,0.00113928,1972050,-0.030539287
199,2035,lakshadweep,1.33,99383,0.062012618,4074,-0.03706431
200,2035,madhya pradesh,1.99,99566901,0.039848755,7546788,0.002923495
201,2035,maharashtra,1.71,148044382,0.038455117,8298737,-0.00564122
202,2035,manipur,1.27,3224549,0.003613839,126175,-0.101549435
203,2035,meghalaya,1.67,4077331,0.042355158,275231,-0.089524799
204,2035,mizoram,1.27,1265481,0.01299901,56050,-0.154683318
205,2035,nagaland,1.32,2416022,0.020760986,107729,-0.12816419
206,2035,nct of delhi,1.52,28531140,0.077831625,1552230,0.029770073
207,2035,odisha,1.84,50766002,0.020764369,3278597,-0.004836215
208,2035,puducherry,1.64,1760513,0.04394969,98534,0.008098727
209,2035,punjab,1.66,34937755,0.032221246,1811129,-0.003188619
210,2035,rajasthan,1.97,95699978,0.041773959,7161092,0.005448331
211,2035,sikkim,1.42,818965,0.034566801,37391,-0.00941403
212,2035,tamil nadu,1.78,82232057,0.009554194,4609929,-0.011391282
213,2035,tripura,1.23,4346576,0.011180985,166152,-0.096839039
214,2035,uttar pradesh,2.06,276129647,0.036295219,21353436,-0.007643079
215,2035,uttarakhand,1.82,13530932,0.041666531,852779,0.006351001
216,2035,west bengal,1.52,107565108,0.011037222,5439541,-0.03944524
217,2040,andaman & nicobar islands,1.62,586412,0.045242935,29590,0.017810071
218,2040,andhra pradesh,1.72,101615040,0.01296007,5422159,-0.022728031
219,2040,arunachal pradesh,1.46,2192381,0.044926954,108741,-0.009904268
220,2040,assam,1.91,42315339,0.026143758,2923171,-0.010024388
221,2040,bihar,1.96,150267685,0.034094137,11227112,-0.004203574
222,2040,chandigarh,1.49,2039662,0.069727239,104431,0.043272591
223,2040,chhattisgarh,1.97,34409969,0.027485552,2515969,-0.016873419
224,2040,dadra & nagar haveli,1.77,794169,0.086873197,45823,0.014665125
225,2040,daman & diu,1.75,607653,0.0967098,27406,0.030321827
226,2040,goa,1.37,2087157,0.03926729,85103,-0.00779056
227,2040,gujarat,1.74,82312653,0.028522444,4846930,-0.018607655
228,2040,haryana,1.83,38199013,0.047479682,2408449,0.002558493
229,2040,himachal pradesh,1.74,8718647,0.022661773,459375,-0.008441905
231,2040,jammu & kashmir,1.57,16061678,0.018951756,793422,-0.053381429
232,2040,jharkhand,1.88,46060299,0.030238232,3149536,-0.015267963
233,2040,karnataka,1.75,76214229,0.01848563,4272859,-0.017091601
234,2040,kerala,1.69,37303715,-0.003852619,1911825,-0.043093902
235,2040,lakshadweep,1.35,105546,0.051674152,3923,-0.003568697
236,2040,madhya pradesh,1.95,103534518,0.035523621,7568851,-0.008340764
237,2040,maharashtra,1.71,153737446,0.033345884,8251922,-0.013031267
238,2040,manipur,1.28,3236202,-0.004292377,113362,-0.067430003
239,2040,meghalaya,1.66,4250027,0.03103345,250591,-0.0312182
240,2040,mizoram,1.26,1281931,0.003378497,47380,-0.105128746
241,2040,nagaland,1.33,2466181,0.010695079,93922,-0.067577351
242,2040,nct of delhi,1.53,30751765,0.070040793,1598440,0.045132754
243,2040,odisha,1.84,51820126,0.017151714,3262741,-0.005101232
244,2040,puducherry,1.65,1837887,0.037377706,99332,-0.001560424
245,2040,punjab,1.68,36063493,0.027732838,1805354,-0.007255641
246,2040,rajasthan,1.94,99697745,0.03744506,7200108,-0.006506014
247,2040,sikkim,1.43,847274,0.028920987,37039,-0.002348876
248,2040,tamil nadu,1.8,83017718,0.005300013,4557416,-0.032550682
249,2040,tripura,1.23,4395175,0.00274187,150062,-0.069231384
250,2040,uttar pradesh,1.98,286151833,0.031025973,21190230,-0.002252217
251,2040,uttarakhand,1.82,14094719,0.037557755,858195,0.007925938
252,2040,west bengal,1.52,108752328,0.00512115,5224977,-0.036416237
253,2045,andaman & nicobar islands,1.65,612943,0.037890962,30117,0.014211243
254,2045,andhra pradesh,1.74,102931978,0.007634411,5298924,-0.034165049
255,2045,arunachal pradesh,1.46,2290878,0.037550232,107664,0.008127136
256,2045,assam,1.91,43421621,0.021181798,2893868,-0.014323736
257,2045,bihar,1.93,155390932,0.029578496,11179918,-0.002613704
258,2045,chandigarh,1.5,2181882,0.060366693,108950,0.025452042
259,2045,chhattisgarh,1.95,35355746,0.022520809,2473516,-0.030993533
260,2045,dadra & nagar haveli,1.75,863161,0.075045096,46495,0.007506183
261,2045,daman & diu,1.75,666419,0.082866785,28237,0.021107058
262,2045,goa,1.39,2169114,0.032305817,84440,-8.28991E-05
263,2045,gujarat,1.74,84660411,0.02253887,4756740,-0.030802188
264,2045,haryana,1.83,40012690,0.041251638,2414611,-0.012517544
265,2045,himachal pradesh,1.75,8916227,0.017554174,455497,-0.015927657
267,2045,jammu & kashmir,1.58,16366075,0.011763541,751068,-0.010961724
268,2045,jharkhand,1.86,47453081,0.02493916,3101449,-0.012940725
269,2045,karnataka,1.77,77623097,0.013108019,4199829,-0.030285757
270,2045,kerala,1.69,37159998,-0.009076588,1829437,-0.051693499
271,2045,lakshadweep,1.36,111000,0.042846847,3909,0.005883858
272,2045,madhya pradesh,1.91,107212439,0.030365329,7505721,-0.026501651
273,2045,maharashtra,1.71,158863957,0.027366604,8144389,-0.014249319
274,2045,manipur,1.29,3222311,-0.011302137,105718,-0.053784597
275,2045,meghalaya,1.66,4381920,0.023903221,242768,0.009544091
276,2045,mizoram,1.26,1286262,-0.003921441,42399,-0.044411425
277,2045,nagaland,1.34,2492557,0.003171843,87575,-0.02563517
278,2045,nct of delhi,1.54,32905643,0.062635913,1670582,0.031420786
279,2045,odisha,1.86,52708930,0.013314063,3246097,-0.019879258
280,2045,puducherry,1.66,1906583,0.030408852,99177,-0.010778709
281,2045,punjab,1.69,37063636,0.022456701,1792255,-0.009568951
282,2045,rajasthan,1.92,103430933,0.032246021,7153264,-0.028633083
283,2045,sikkim,1.44,871778,0.022990945,36952,-0.02243451
284,2045,tamil nadu,1.81,83457713,-0.000178138,4409069,-0.040968286
285,2045,tripura,1.23,4407226,-0.005088235,139673,-0.058973459
286,2045,uttar pradesh,1.92,295029972,0.027034314,21142505,-0.028120698
287,2045,uttarakhand,1.83,14624085,0.033104362,864997,-0.01343126
288,2045,west bengal,1.53,109309265,-0.000682696,5034703,-0.038196493
289,2050,andaman & nicobar islands,1.68,636168,0.030806328,30545,0.006416762
290,2050,andhra pradesh,1.76,103717803,0.001793414,5117886,-0.033054859
291,2050,arunachal pradesh,1.47,2376901,0.031172102,108539,-0.005104156
292,2050,assam,1.92,44341369,0.015739839,2852417,-0.018462588
293,2050,bihar,1.92,159987162,0.025534574,11150697,-0.026600221
294,2050,chandigarh,1.52,2313595,0.050915134,111723,0.007223222
295,2050,chhattisgarh,1.94,36151986,0.01690914,2396853,-0.031846342
296,2050,dadra & nagar haveli,1.75,927937,0.063552806,46844,-0.001238152
297,2050,daman & diu,1.75,721643,0.06932098,28833,0.017375923
298,2050,goa,1.4,2239189,0.025846858,84433,-0.002084493
299,2050,gujarat,1.75,86568561,0.016081323,4610222,-0.030474888
300,2050,haryana,1.83,41663279,0.034216246,2384386,-0.015073063
301,2050,himachal pradesh,1.77,9072744,0.012163354,448242,-0.021718179
303,2050,jammu & kashmir,1.6,16558598,0.006668741,742835,-0.005120922
304,2050,jharkhand,1.85,48636521,0.020068541,3061314,-0.024873959
305,2050,karnataka,1.78,78640582,0.007081077,4072634,-0.029224084
306,2050,kerala,1.69,36822712,-0.014127477,1734867,-0.051007945
307,2050,lakshadweep,1.37,115756,0.03511697,3932,0.005595117
308,2050,madhya pradesh,1.9,110467980,0.024222069,7306807,-0.033623579
309,2050,maharashtra,1.73,163211524,0.021263615,8028337,-0.015879752
310,2050,manipur,1.31,3185892,-0.01799496,100032,-0.066788628
311,2050,meghalaya,1.68,4486662,0.019187984,245085,0.006622192
312,2050,mizoram,1.26,1281218,-0.009259939,40516,-0.036257281
313,2050,nagaland,1.35,2500463,-0.002927058,85330,-0.032450486
314,2050,nct of delhi,1.56,34966718,0.054761073,1723073,0.010551497
315,2050,odisha,1.87,53410700,0.008775601,3181567,-0.027412278
316,2050,puducherry,1.66,1964560,0.023580853,98108,-0.011385412
317,2050,punjab,1.71,37895963,0.017017802,1775105,-0.016027221
318,2050,rajasthan,1.91,106766169,0.025774129,6948444,-0.036863361
319,2050,sikkim,1.45,891821,0.015839501,36123,-0.038590372
